 ເພີ່ມຄວາມອິດສະຫຼະໃນການໃຊ້ມື ແລະ ແຂນ,Increase independence using arms and hands , ການນຳສົ່ງໄປປະເມີນທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ (ການບໍລິການດ້ານກາຍະບຳບັດ/ອົງຄະທຽມ&ເຄື່ອງຄ້ຳຊູ) ,Referral for assessment at rehabilitation facility (PT and/or P&O services), ໃຫ້ການສະໜັບສະຫນູນທາງດ້ານການເງິນ (ການຂົນສົ່ງ / ຄ່າໃຊ້ຈ່າຍດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ/ ເຄື່ອງອຳນວຍຄວາມສະດວກ) ຖ້າຈຳເປັນ,Provide financial support (transport and /or rehabilitation/assistive products costs) 
 ເພີ່ມຄວາມອິດສະຫຼະໃນການໃຊ້ມື ແລະ ແຂນ,Increase independence using arms and hands , ການນຳສົ່ງໄປປະເມີນທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ (ການບໍລິການດ້ານກາຍະບຳບັດ/ອົງຄະທຽມ&ເຄື່ອງຄ້ຳຊູ) ,Referral for assessment at rehabilitation facility (PT and/or P&O services), ຢືນຢັນການເຂົ້າຮ່ວມການປະເມີນ ແລະ ການປິ່ນປົວ (ການຜ່າຕັດ) ຕາມຄຳແນະນຳ ຂອງທ່ານໝໍ ,Confirm person attended for assessment and treatment (surgery) prescribed by doctor
 ເພີ່ມຄວາມອິດສະຫຼະໃນການໃຊ້ມື ແລະ ແຂນ,Increase independence using arms and hands , ການນຳສົ່ງໄປປະເມີນທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ (ການບໍລິການດ້ານກາຍະບຳບັດ/ອົງຄະທຽມ&ເຄື່ອງຄ້ຳຊູ) ,Referral for assessment at rehabilitation facility (PT and/or P&O services),ຢືນຢັນວ່າ ຄົນເຈັບໄດ້ເຂົ້າຮ່ວມການປະເມີນ ແລະ ການປິ່ນປົວທີ່ສະໜອງໂດຍພະຍາບານ,Confirm person attended for assessment and treatment provided by nurse
 ເພີ່ມຄວາມອິດສະຫຼະໃນການໃຊ້ມື ແລະ ແຂນ,Increase independence using arms and hands , ການນຳສົ່ງໄປປະເມີນທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ (ການບໍລິການດ້ານກາຍະບຳບັດ/ອົງຄະທຽມ&ເຄື່ອງຄ້ຳຊູ) ,Referral for assessment at rehabilitation facility (PT and/or P&O services),ຢືນຢັນວ່າ ຄົນເຈັບໄດ້ເຂົ້າຮ່ວມການປະເມີນ ແລະ ການປິ່ນປົວທີ່ສະໜອງໂດຍນັກກາຍະບຳບັດ,Confirm person attended for assessment and treatment provided by PT
 ເພີ່ມຄວາມອິດສະຫຼະໃນການໃຊ້ມື ແລະ ແຂນ,Increase independence using arms and hands , ການນຳສົ່ງໄປປະເມີນທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ (ການບໍລິການດ້ານກາຍະບຳບັດ/ອົງຄະທຽມ&ເຄື່ອງຄ້ຳຊູ) ,Referral for assessment at rehabilitation facility (PT and/or P&O services),ຢືນຢັນວ່າ ຄົນເຈັບໄດ້ເຂົ້າຮ່ວມການປະເມີນ ແລະ ການປິ່ນປົວທີ່ສະໜອງໂດຍ ຊ່າງອົງຄະທຽມ ແລະ ເຄື່ອງຄ້ຳຊູ,Confirm person attended for assessment and treatment provided by P&O
 ເພີ່ມຄວາມອິດສະຫຼະໃນການໃຊ້ມື ແລະ ແຂນ,Increase independence using arms and hands , ການນຳສົ່ງໄປປະເມີນທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ (ການບໍລິການດ້ານກາຍະບຳບັດ/ອົງຄະທຽມ&ເຄື່ອງຄ້ຳຊູ) ,Referral for assessment at rehabilitation facility (PT and/or P&O services),ຢືນຢັນການສະໜອງອົງຄະທຽມ ແລະ ເຄື່ອງຄ້ຳຊູແຂນ,Confirm provision of upper limb P&O assistive product
 ເພີ່ມຄວາມອິດສະຫຼະໃນການໃຊ້ມື ແລະ ແຂນ,Increase independence using arms and hands , ການນຳສົ່ງໄປປະເມີນທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ (ການບໍລິການດ້ານກາຍະບຳບັດ/ອົງຄະທຽມ&ເຄື່ອງຄ້ຳຊູ) ,Referral for assessment at rehabilitation facility (PT and/or P&O services),ໃຫ້ຄຳແນະນຳກ່ຽວກັບການໃຊ້ອົງຄະທຽມ ແລະ ເຄື່ອງຄ້ຳຊູແຂນ,Provide advice on use upper limb P&O 
 ເພີ່ມຄວາມອິດສະຫຼະໃນການໃຊ້ມື ແລະ ແຂນ,Increase independence using arms and hands , ການນຳສົ່ງໄປປະເມີນທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ (ການບໍລິການດ້ານກາຍະບຳບັດ/ອົງຄະທຽມ&ເຄື່ອງຄ້ຳຊູ) ,Referral for assessment at rehabilitation facility (PT and/or P&O services),ສົ່ງເສີມການໃຊ້ ອົງຄະທຽມ ແລະ ເຄື່ອງຄ້ຳຊູແຂນ,Encourage use of upper limb P&O 
 ເພີ່ມຄວາມອິດສະຫຼະໃນການໃຊ້ມື ແລະ ແຂນ,Increase independence using arms and hands , ການນຳສົ່ງໄປປະເມີນທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ (ການບໍລິການດ້ານກາຍະບຳບັດ/ອົງຄະທຽມ&ເຄື່ອງຄ້ຳຊູ) ,Referral for assessment at rehabilitation facility (PT and/or P&O services), ຕິດຕາມການໃຊ້ ອົງຄະທຽມ ແລະ ເຄື່ອງຄ້ຳຊູແຂນ ນຳຊ່າງອົງຄະທຽມ ແລະ ເຄື່ອງຄ້ຳຊູ ຖ້າຈຳເປັນ,Monitor use of upper limb P&O (with P&O staff when needed)
 ເພີ່ມຄວາມອິດສະຫຼະໃນການໃຊ້ມື ແລະ ແຂນ,Increase independence using arms and hands , ການນຳສົ່ງໄປປະເມີນທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ (ການບໍລິການດ້ານກາຍະບຳບັດ/ອົງຄະທຽມ&ເຄື່ອງຄ້ຳຊູ) ,Referral for assessment at rehabilitation facility (PT and/or P&O services), ສະໜັບສະໜູນການສ້ອມແປງອົງຄະທຽມ ແລະ ເຄື່ອງຄ້ຳຊູແຂນ,Support repairs of upper limb P&O
ເພີ່ມຄວາມອິດສະຫຼະໃນການໃຊ້ມື ແລະ ແຂນ,Increase independence using arms and hands , ການນຳສົ່ງໄປປະເມີນທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ (ການບໍລິການດ້ານກາຍະບຳບັດ/ອົງຄະທຽມ&ເຄື່ອງຄ້ຳຊູ) ,Referral for assessment at rehabilitation facility (PT and/or P&O services), ສະໜອງແວ່ນສາຍຕາກ່ຽວກັບການຝຶກແອບຢູ່ບ້ານຕາມຄຳແນະນຳຂອງພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ,Provide visual aids on home-based exercises prescribed by rehabilitation staff
ເພີ່ມຄວາມອິດສະຫຼະໃນການໃຊ້ມື ແລະ ແຂນ,Increase independence using arms and hands , ການນຳສົ່ງໄປປະເມີນທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ (ການບໍລິການດ້ານກາຍະບຳບັດ/ອົງຄະທຽມ&ເຄື່ອງຄ້ຳຊູ) ,Referral for assessment at rehabilitation facility (PT and/or P&O services), ສົ່ງເສີມໃຫ້ຝຶກແອບຢູ່ບ້ານໃຫ້ສຳເລັດຕາມຄຳແນະນຳຂອງພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ,Encourage completion of home-based exercises prescribed by rehabilitation staff
 ເພີ່ມຄວາມອິດສະຫຼະໃນການໃຊ້ມື ແລະ ແຂນ,Increase independence using arms and hands , ການນຳສົ່ງໄປປະເມີນທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ (ການບໍລິການດ້ານກາຍະບຳບັດ/ອົງຄະທຽມ&ເຄື່ອງຄ້ຳຊູ) ,Referral for assessment at rehabilitation facility (PT and/or P&O services), ຕິດຕາມການຝຶກແອບຢູ່ບ້ານໃຫ້ສຳເລັດ ນຳພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ຖ້າຈຳເປັນ,Monitor completion of home-based exercises (with rehabilitation staff when needed)
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳການດູແລຕົນເອງ,Increase independence doing self-care activities , ໃຫ້ຄຳແນະນຳແກ່ຄອບຄົວກ່ຽວກັບວິທີການດູແລຕົນເອງແບບດັດປັບຕາມສະພາບ,Providing advice to family on adapted self-care methods, ຮັບເອົາຄຳແນະນຳຈາກພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການກ່ຽວກັບວິທີດູແລຕົນເອງແບບປັບປຸງຕາມສະພາບ,Obtain advice from rehabilitation staff on self-care adapted methods
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳການດູແລຕົນເອງ,Increase independence doing self-care activities , ໃຫ້ຄຳແນະນຳແກ່ຄອບຄົວກ່ຽວກັບວິທີການດູແລຕົນເອງແບບດັດປັບຕາມສະພາບ,Providing advice to family on adapted self-care methods,ສະແດງບັດດ້ວຍວິທີການດັດແປງ / ເຄື່ອງອຳນວຍຄວາມສະດວກສຳລັບກິດຈະກຳດູແລຕົນເອງທີ່ແຕກຕ່າງກັນ ນຳພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ຖ້າຈຳເປັນ,Show the cards with adapted methods and/or assistive product for different self care activities (with rehabilitation staff as needed)
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳການດູແລຕົນເອງ,Increase independence doing self-care activities , ໃຫ້ຄຳແນະນຳແກ່ຄອບຄົວກ່ຽວກັບວິທີການດູແລຕົນເອງແບບດັດປັບຕາມສະພາບ,Providing advice to family on adapted self-care methods, ປຶກສາຫາລືກັບຄອບຄົວວ່າ ແມ່ນຫຍັງສຳລັບເຄື່ອງອຳນວຍຄວາມສະດວກໃນການດູແລຕົນເອງ ທີ່ຄອບຄົວ ຫລື ຊ່າງທ້ອງຖິ່ນສາມາດເຮັດໄດ້,Discuss with the family what is feasible for self care assistive product to be made by family or local handyman 
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳການດູແລຕົນເອງ,Increase independence doing self-care activities , ໃຫ້ຄຳແນະນຳແກ່ຄອບຄົວກ່ຽວກັບວິທີການດູແລຕົນເອງແບບດັດປັບຕາມສະພາບ,Providing advice to family on adapted self-care methods, ກະກຽມຊ່າງທ້ອງຖິ່ນເພື່ອຜະລິດເຄື່ອງອຳນວຍຄວາມສະດວກ,Organize local handyman to make self care assistive product
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳການດູແລຕົນເອງ,Increase independence doing self-care activities , ໃຫ້ຄຳແນະນຳແກ່ຄອບຄົວກ່ຽວກັບວິທີການດູແລຕົນເອງແບບດັດປັບຕາມສະພາບ,Providing advice to family on adapted self-care methods, ຊື້ເຄື່ອງອຳນວຍຄວາມສະດວກໃນການດູແລຕົນເອງຈາກຮ້ານຂາຍຢາ,Purchase a self care assistive product from the pharmacy
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳການດູແລຕົນເອງ,Increase independence doing self-care activities , ໃຫ້ຄຳແນະນຳແກ່ຄອບຄົວກ່ຽວກັບວິທີການດູແລຕົນເອງແບບດັດປັບຕາມສະພາບ,Providing advice to family on adapted self-care methods,ໃຫ້ຄຳແນະນຳກ່ຽວກັບການໃຊ້ ເຄື່ອງອຳນວຍຄວາມສະດວກໃນການດູແລຕົນເອງ,Provide advice on use of self care assistive product 
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳການດູແລຕົນເອງ,Increase independence doing self-care activities , ໃຫ້ຄຳແນະນຳແກ່ຄອບຄົວກ່ຽວກັບວິທີການດູແລຕົນເອງແບບດັດປັບຕາມສະພາບ,Providing advice to family on adapted self-care methods,ສົ່ງເສີມການໃຊ້ ເຄື່ອງອຳນວຍຄວາມສະດວກໃນການດູແລຕົນເອງ / ວິທີການດັດແປງ,Encourage use of self care assistive product and/or adapted method 
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳການດູແລຕົນເອງ,Increase independence doing self-care activities , ໃຫ້ຄຳແນະນຳແກ່ຄອບຄົວກ່ຽວກັບວິທີການດູແລຕົນເອງແບບດັດປັບຕາມສະພາບ,Providing advice to family on adapted self-care methods, ຕິດຕາມການໃຊ້ເຄື່ອງອຳນວຍຄວາມສະດວກໃນການດູແລຕົນເອງ ຫຼື ວິທີການປັບປຸງ ນຳພະນັກງານການແພດຟື້ນຟູໜ້າທີ່ການ ຕາມຄວາມຈຳເປັນ,Monitor use of self-care assistive product and/or adapted method (with rehabilitation staff as needed)
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳການດູແລຕົນເອງ,Increase independence doing self-care activities , ໃຫ້ຄຳແນະນຳແກ່ຄອບຄົວກ່ຽວກັບວິທີການດູແລຕົນເອງແບບດັດປັບຕາມສະພາບ,Providing advice to family on adapted self-care methods,ສະໜັບສະໜູນການສ້ອມແປງເຄື່ອງອຳນວຍຄວາມສະດວກໃນການດູແລຕົນເອງ ຖ້າຈຳເປັນ ນຳພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ,Support repairs of self care assistive product if needed (with rehabilita
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳການດູແລຕົນເອງ,Increase independence doing self-care activities ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment, ຮັບເອົາຄຳແນະນຳຈາກພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການກ່ຽວກັບການປັບປຸງການເຂົ້າເຖິງ,Obtain advice from rehabilitation staff on accessibility adjustments
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳການດູແລຕົນເອງ,Increase independence doing self-care activities ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment,ສະແດງຮູບຖ່າຍ ໃຫ້ຄອບຄົວເບິ່ງ ກ່ຽວກັບການປັບປຸງການເຂົ້າເຖິງສຳລັບປັບປຸງການເຄື່ອນໄຫວ ແລະ ການໃຊ້ຝັກບົວ/ ຫ້ອງນ້ຳ / ບໍລິເວນຫ້ອງນອນ (ກັບພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ຖ້າຈຳເປັນ) ,Show the family pictures on accessibility adjustments for improving movement and use of shower/ toilet/ bedroom area (with rehabilitation staff when needed)
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳການດູແລຕົນເອງ,Increase independence doing self-care activities ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment,ປຶກສາຫາລືກັບຄອບຄົວວ່າ ແມ່ນຫຍັງທີ່ຄອບຄົວ ຫລື ຊ່າງທ້ອງຖິ່ນສາມາດເຮັດໄດ້,Discuss with the family what is feasible to be made by family or local handyman
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳການດູແລຕົນເອງ,Increase independence doing self-care activities ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment,ສົນທະນາກ່ຽວກັບ ຄວາມສ່ຽງດ້ານສິ່ງແວດລ້ອມ ແລະ ກິດຈະກໍາ ຮ່ວມກັບຄອບຄົວ,Discuss environmental risks and action with family as needed
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳການດູແລຕົນເອງ,Increase independence doing self-care activities ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment, ໃຫ້ຄຳແນະນຳກ່ຽວກັບວິທີການປັບປຸງ ແລະ ວັດຖຸທີ່ຈຳເປັນ,Provide advice on how to do adjustments and materials needed
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳການດູແລຕົນເອງ,Increase independence doing self-care activities ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment, ຢືນຢັນການປັບປຸງເຮືອນສຳເລັດໂດຍຄອບຄົວ ຫລື ຊ່າງທ້ອງຖິ່ນ,Confirm completion of house adjustments  by family or local handyman
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳການດູແລຕົນເອງ,Increase independence doing self-care activities ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment, ສົ່ງເສີມການໃຊ້ການປັບປຸງການເຂົ້າເຖິງ,Encourage use of accessibility modification
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳການດູແລຕົນເອງ,Increase independence doing self-care activities ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment, ຕິດຕາມການໃຊ້ການປັບປຸງການເຂົ້າເຖິງ ກັບພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ,Monitor use of accessibility modification (with rehabilitation staff when needed)
 ເພີ່ມທັກສະການຮັບຮູ້,Increase cognitive skills ,ການນຳສົ່ງໄປຫາຊ່ຽວຊານ,Referral to specialist services, ກວດກາເບິ່ງຄວາມພ້ອມດ້ານບໍລິການ ແລະ ກຳນົດການນັດໝາຍ,Check availability of service and schedule of appointments
 ເພີ່ມທັກສະການຮັບຮູ້,Increase cognitive skills ,ການນຳສົ່ງໄປຫາຊ່ຽວຊານ,Referral to specialist services, ຂໍຄວາມຍິນຍອມຈາກຄົນເຈັບ ແລະ ຄອບຄົວເພື່ອນຳສົ່ງຄົນເຈັບ,Get informed consent from person and the family for referral
 ເພີ່ມທັກສະການຮັບຮູ້,Increase cognitive skills ,ການນຳສົ່ງໄປຫາຊ່ຽວຊານ,Referral to specialist services,ຈັດກຽມການສົ່ງຕໍ່ໄປຍັງ ຜູ້ສະໜອງບໍລິການປິ່ນປົວ,Organize referral to service provider
 ເພີ່ມທັກສະການຮັບຮູ້,Increase cognitive skills ,ການນຳສົ່ງໄປຫາຊ່ຽວຊານ,Referral to specialist services, ໃຫ້ການສະໜັບສະຫນູນທາງດ້ານການເງິນ (ການຂົນສົ່ງ / ຄ່າໃຊ້ຈ່າຍອື່ນໆ) ຖ້າຈຳເປັນ,Provide financial support (transport and /or other costs) if needed
 ເພີ່ມທັກສະການຮັບຮູ້,Increase cognitive skills ,ການນຳສົ່ງໄປຫາຊ່ຽວຊານ,Referral to specialist services,ຢືນຢັນວ່າ ຄົນເຈັບໄດ້ເຂົ້າຮ່ວມການປະເມີນ ແລະ ການປິ່ນປົວທີ່ໄດ້ຮັບຈາກຜູ້ສະໜອງບໍລິການ,Confirm attendance at assesment and/or treatment received with service provider
 ເພີ່ມທັກສະການຮັບຮູ້,Increase cognitive skills ,ການນຳສົ່ງໄປຫາຊ່ຽວຊານ,Referral to specialist services, ສົ່ງເສີມໃຫ້ຄົນເຈັບ ແລະ ຄອບຄົວປະຕິບັດຕາມຄຳແນະນຳຂອງຜູ້ສະໜອງບໍລິການ,Encourage person and family to follow advice prescribed by service provider
 ເພີ່ມທັກສະການຮັບຮູ້,Increase cognitive skills ,ການນຳສົ່ງໄປຫາ ຊ່ຽວຊານ,Referral to specialist services, ຕິດຕາມຜົນຂອງການປິ່ນປົວນຳຜູ້ສະໜອງບໍລິການ,Monitor outcome of treatment with service provider
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳປະຈຳວັນ,Increase independence doing activities of daily living ,ໃຫ້ຄຳແນະນຳແກ່ ຄົນເຈັບ ແລະ ຄອບຄົວກ່ຽວກັບວິທີການແບບດັດປັບໃນກິດຈະວັດປະຈຳວັນ,Providing advice to person and family on adapted methods for activities of daily living (ADL),ຮັບເອົາຄຳແນະນຳຈາກພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການກ່ຽວກັບວິທີການປັບປຸງກິິດຈະກຳປະຈຳວັນ,Obtain advice from rehabilitation staff on ADL adapted methods
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳປະຈຳວັນ,Increase independence doing activities of daily living ,ໃຫ້ຄຳແນະນຳແກ່ ຄົນເຈັບ ແລະ ຄອບຄົວກ່ຽວກັບວິທີການແບບດັດປັບໃນກິດຈະວັດປະຈຳວັນ,Providing advice to person and family on adapted methods for activities of daily living (ADL), ສະແດງບັດທີ່ມີວິທີການປັບປຸງ / ອຸປະກອນອຳນວຍຄວາມສະດວກສຳລັບກິດຈະກຳປະຈຳວັນທີ່ແຕກຕ່າງກັນ,Show the cards with adapted methods and/or assistive product for different ADL activities
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳປະຈຳວັນ,Increase independence doing activities of daily living ,ໃຫ້ຄຳແນະນຳແກ່ ຄົນເຈັບ ແລະ ຄອບຄົວກ່ຽວກັບວິທີການແບບດັດປັບໃນກິດຈະວັດປະຈຳວັນ,Providing advice to person and family on adapted methods for activities of daily living (ADL), ປຶກສາຫາລືກັບຄອບຄົວວ່າ ແມ່ນຫຍັງທີ່ຄອບຄົວ ຫລື ຊ່າງທ້ອງຖິ່ນສາມາດເຮັດໄດ້,Discuss with the family what is feasible for ADL assistive product to be made by family or local handyman 
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳປະຈຳວັນ,Increase independence doing activities of daily living ,ໃຫ້ຄຳແນະນຳແກ່ ຄົນເຈັບ ແລະ ຄອບຄົວກ່ຽວກັບວິທີການແບບດັດປັບໃນກິດຈະວັດປະຈຳວັນ,Providing advice to person and family on adapted methods for activities of daily living (ADL), ໃຫ້ຊ່າງທ້ອງຖິ່ນຜະລິດເຄື່ອງອຳນວຍຄວາມສະດວກໃນກິດຈະກຳປະຈຳວັນ,Organize local handyman to make ADL assistive product
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳປະຈຳວັນ,Increase independence doing activities of daily living ,ໃຫ້ຄຳແນະນຳແກ່ ຄົນເຈັບ ແລະ ຄອບຄົວກ່ຽວກັບວິທີການແບບດັດປັບໃນກິດຈະວັດປະຈຳວັນ,Providing advice to person and family on adapted methods for activities of daily living (ADL), ຊື້ເຄື່ອງອຳນວຍຄວາມສະດວກໃນກິດຈະກຳປະຈຳວັນຈາກຮ້ານຂາຍຢາ,Purchase an ADL assistive product from the pharmacy
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳປະຈຳວັນ,Increase independence doing activities of daily living ,ໃຫ້ຄຳແນະນຳແກ່ ຄົນເຈັບ ແລະ ຄອບຄົວກ່ຽວກັບວິທີການແບບດັດປັບໃນກິດຈະວັດປະຈຳວັນ,Providing advice to person and family on adapted methods for activities of daily living (ADL),ໃຫ້ຄຳແນະກ່ຽວກັບການໃຊ້ ເຄື່ອງອຳນວຍຄວາມສະດວກໃນກິດຈະກຳປະຈຳວັນ,Provide advice on use of ADL assistive product 
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳປະຈຳວັນ,Increase independence doing activities of daily living ,ໃຫ້ຄຳແນະນຳແກ່ ຄົນເຈັບ ແລະ ຄອບຄົວກ່ຽວກັບວິທີການແບບດັດປັບໃນກິດຈະວັດປະຈຳວັນ,Providing advice to person and family on adapted methods for activities of daily living (ADL), ສົ່ງເສີມໃຫ້ໃຊ້ເຄື່ອງອຳນວຍຄວາມສະດວກໃນກິດຈະກຳປະຈຳວັນ ຫຼື ວິທີການປັບປຸງ,Encourage use of ADL assistive product and/or adapted method 
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳປະຈຳວັນ,Increase independence doing activities of daily living ,ໃຫ້ຄຳແນະນຳແກ່ ຄົນເຈັບ ແລະ ຄອບຄົວກ່ຽວກັບວິທີການແບບດັດປັບໃນກິດຈະວັດປະຈຳວັນ,Providing advice to person and family on adapted methods for activities of daily living (ADL), ຕິດຕາມການໃຊ້ເຄື່ອງອຳນວຍຄວາມສະດວກໃນກິດຈະກຳປະຈຳວັນ ຫຼື ວິທີການປັບປຸງ ນຳພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ,Monitor use of ADL assistive product and/or adapted method (with rehabilitation staff when needed)
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳປະຈຳວັນ,Increase independence doing activities of daily living ,ໃຫ້ຄຳແນະນຳແກ່ ຄົນເຈັບ ແລະ ຄອບຄົວກ່ຽວກັບວິທີການແບບດັດປັບໃນກິດຈະວັດປະຈຳວັນ,Providing advice to person and family on adapted methods for activities of daily living (ADL), ສະໜັບສະໜູນການສ້ອມແປງເຄື່ອງອຳນວຍຄວາມສະດວກໃນກິດຈະວັດປະຈຳວັນ ຖ້າຈຳເປັນ,Support repairs of ADL assistive product if needed
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳປະຈຳວັນ,Increase independence doing activities of daily living ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment, ຮັບເອົາຄຳແນະນຳຈາກພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການກ່ຽວກັບການປັບປຸງການເຂົ້າເຖິງ,Obtain advice from rehabilitation staff on accessibility adjustments
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳປະຈຳວັນ,Increase independence doing activities of daily living ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment,"ສະແດງຮູບຖ່າຍ ໃຫ້ຄອບຄົວເບິ່ງ ກ່ຽວກັບການປັບປຸງການເຂົ້າເຖິງສຳລັບປັບປຸງການເຄື່ອນໄຫວ ແລະ ການໃຊ້ສະພາບແວດລ້ອມພາຍໃນເຮືອນ (ເຮືອນຄົວ, ປ້ຳນ້ຳ ແລະ ອື່ນໆ) (ກັບພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ຖ້າຈຳເປັນ) ","Show the family pictures on accessibility adjustments for improving movement and use of the home environment (kitchen, water pump, etc.) (with rehabilitation staff when needed)"
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳປະຈຳວັນ,Increase independence doing activities of daily living ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment,ປຶກສາຫາລືກັບຄອບຄົວວ່າ ແມ່ນຫຍັງທີ່ຄອບຄົວ ຫລື ຊ່າງທ້ອງຖິ່ນສາມາດເຮັດໄດ້,Discuss with the family what is feasible to be made by family or local handyman
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳປະຈຳວັນ,Increase independence doing activities of daily living ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment,ສົນທະນາກ່ຽວກັບ ຄວາມສ່ຽງດ້ານສິ່ງແວດລ້ອມ ແລະ ກິດຈະກໍາ ຮ່ວມກັບຄອບຄົວ,Discuss environmental risks and action with family as needed
